상호명,대표주소,네이버플레이스,네이버지도검색링크,네이버예약URL,지역_시도,지역_시군구,지역_읍면동,식당유형_대,식당유형_세부,주요리_대표,검색태그,배지,출처유형,근거URL,근거문구,최종업데이트
덕이칼국수,충청북도 진천군 진천읍 원덕로 267,"https://map.naver.com/p/entry/place/17755354?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061733&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/17755354?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061733&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8D%95%EC%9D%B4%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%B6%A9%EC%B2%AD%EB%B6%81%EB%8F%84%20%EC%A7%84%EC%B2%9C%EA%B5%B0%20%EC%A7%84%EC%B2%9C%EC%9D%8D%20%EC%9B%90%EB%8D%95%EB%A1%9C%20267,충청북도,진천군,진천읍,한식,면요리,칼국수,"한식,칼국수,면",오직미클럽,ozicme-base,,,2026-02-05
덕평 마산아구 이천쌀밥,경기도 이천시 마장면 덕평리 438-7,https://map.naver.com/p/entry/place/38695562,https://map.naver.com/p/entry/place/38695562,https://map.naver.com/p/search/%EB%8D%95%ED%8F%89%20%EB%A7%88%EC%82%B0%EC%95%84%EA%B5%AC%20%EC%9D%B4%EC%B2%9C%EC%8C%80%EB%B0%A5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EB%A7%88%EC%9E%A5%EB%A9%B4%20%EB%8D%95%ED%8F%89%EB%A6%AC%20438-7,경기도,이천시,마장면,한식,한정식,쌀밥한정식,"이천,이천쌀밥,한정식",오직미클럽,ozicme-base,,,2026-02-05
도깨비식당,경상북도 칠곡군 가산면 가산로 298 도깨비식당.,"https://map.naver.com/p/entry/place/1226304021?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101612&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1226304021?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101612&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%84%EA%B9%A8%EB%B9%84%EC%8B%9D%EB%8B%B9%20%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%B9%A0%EA%B3%A1%EA%B5%B0%20%EA%B0%80%EC%82%B0%EB%A9%B4%20%EA%B0%80%EC%82%B0%EB%A1%9C%20298%20%EB%8F%84%EA%B9%A8%EB%B9%84%EC%8B%9D%EB%8B%B9.,경상북도,칠곡군,가산면,한식,정식/백반,백반/정식,"한식,백반/정식,백반",오직미클럽,ozicme-base,,,2026-02-05
도리도리찜닭,경상북도 경주시 북천길 34 도리도리 찜닭 2층집,"https://map.naver.com/p/entry/place/1183914201?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101611&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1183914201?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101611&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%84%EB%A6%AC%EB%8F%84%EB%A6%AC%EC%B0%9C%EB%8B%AD%20%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EA%B2%BD%EC%A3%BC%EC%8B%9C%20%EB%B6%81%EC%B2%9C%EA%B8%B8%2034%20%EB%8F%84%EB%A6%AC%EB%8F%84%EB%A6%AC%20%EC%B0%9C%EB%8B%AD%202%EC%B8%B5%EC%A7%91,경상북도,경주시,도리도리,기타,기타(주점/카페/뷔페/기타),미상,미상,오직미클럽,ozicme-base,,,2026-02-05
돈까스의정원,부산광역시 수영구 민락로 8-3 101호,"https://map.naver.com/p/entry/place/1611466389?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072321&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1611466389?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072321&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%88%EA%B9%8C%EC%8A%A4%EC%9D%98%EC%A0%95%EC%9B%90%20%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%88%98%EC%98%81%EA%B5%AC%20%EB%AF%BC%EB%9D%BD%EB%A1%9C%208-3%20101%ED%98%B8,부산광역시,수영구,민락동,일식,일식,돈까스,"일식,돈까스",오직미클럽,ozicme-base,,,2026-02-05
돈뼈락식당,경기도 오산시 금암동 515 금암마을휴먼시아데시앙아파트 제상가동102호,"https://map.naver.com/p/entry/place/1064633611?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072033&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1064633611?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072033&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%88%EB%BC%88%EB%9D%BD%EC%8B%9D%EB%8B%B9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%98%A4%EC%82%B0%EC%8B%9C%20%EA%B8%88%EC%95%94%EB%8F%99%20515%20%EA%B8%88%EC%95%94%EB%A7%88%EC%9D%84%ED%9C%B4%EB%A8%BC%EC%8B%9C%EC%95%84%EB%8D%B0%EC%8B%9C%EC%95%99%EC%95%84%ED%8C%8C%ED%8A%B8%20%EC%A0%9C%EC%83%81%EA%B0%80%EB%8F%99102%ED%98%B8,경기도,오산시,금암동,한식,정식/백반,백반/정식,"한식,백반/정식,백반",오직미클럽,ozicme-base,,,2026-02-05
돌솥밥시골밥상,경기도 이천시 호법면 매곡리 19-3,https://map.naver.com/p/entry/place/18514876,https://map.naver.com/p/entry/place/18514876,https://map.naver.com/p/search/%EB%8F%8C%EC%86%A5%EB%B0%A5%EC%8B%9C%EA%B3%A8%EB%B0%A5%EC%83%81%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%ED%98%B8%EB%B2%95%EB%A9%B4%20%EB%A7%A4%EA%B3%A1%EB%A6%AC%2019-3,경기도,이천시,호법면,한식,한정식,돌솥밥정식,"이천,돌솥밥,쌀밥",오직미클럽,ozicme-base,,,2026-02-05
돌이삼겹,대구광역시 서구 평리로 182 돌이삼겹 1층,"https://map.naver.com/p/entry/place/1251473120?placePath=%2Fhome&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1251473120?placePath=%2Fhome&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%8C%EC%9D%B4%EC%82%BC%EA%B2%B9%20%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%84%9C%EA%B5%AC%20%ED%8F%89%EB%A6%AC%EB%A1%9C%20182%20%EB%8F%8C%EC%9D%B4%EC%82%BC%EA%B2%B9%201%EC%B8%B5,대구광역시,서구,내당동,한식,고기/구이,삼겹살,"한식,삼겹살,삼겹",오직미클럽,ozicme-base,,,2026-02-05
돌하르방식당,경기도 양주시 옥정동로5바길 11,"https://map.naver.com/p/entry/place/1245633693?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101631&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1245633693?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101631&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%8C%ED%95%98%EB%A5%B4%EB%B0%A9%EC%8B%9D%EB%8B%B9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%98%A5%EC%A0%95%EB%8F%99%EB%A1%9C5%EB%B0%94%EA%B8%B8%2011,경기도,양주시,옥정동,주점,기타(주점/카페/뷔페/기타),주류/안주,"주점,펍/바,주류/안주,바,펍",오직미클럽,ozicme-base,,,2026-02-05
동구식당,울산광역시 중구 함월18길 32-1 동구식당 9,"https://map.naver.com/p/entry/place/1989734459?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072231&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1989734459?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072231&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%99%EA%B5%AC%EC%8B%9D%EB%8B%B9%20%EC%9A%B8%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%ED%95%A8%EC%9B%9418%EA%B8%B8%2032-1%20%EB%8F%99%EA%B5%AC%EC%8B%9D%EB%8B%B9%209,울산광역시,중구,성안동,한식,정식/백반,백반/정식,"한식,백반/정식,백반",오직미클럽,ozicme-base,,,2026-02-05
동양솥밥,서울특별시 영등포구 양평동4가 22-1 구산드림타워 구산드림타워104호,"https://map.naver.com/p/entry/place/1178409093?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101632&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1178409093?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101632&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%99%EC%96%91%EC%86%A5%EB%B0%A5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EC%96%91%ED%8F%89%EB%8F%994%EA%B0%80%2022-1%20%EA%B5%AC%EC%82%B0%EB%93%9C%EB%A6%BC%ED%83%80%EC%9B%8C%20%EA%B5%AC%EC%82%B0%EB%93%9C%EB%A6%BC%ED%83%80%EC%9B%8C104%ED%98%B8,서울특별시,영등포구,양평동4가,아시안,아시안,쌀국수/베트남요리,"아시안,베트남,쌀국수/베트남요리",오직미클럽,ozicme-base,,,2026-02-05
동이네칼국수,강원도 정선군 남면 도원3길 9 B/D 101호 둥이네 칼국수,"https://map.naver.com/p/entry/place/1584447388?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101555&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1584447388?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101555&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%99%EC%9D%B4%EB%84%A4%EC%B9%BC%EA%B5%AD%EC%88%98%20%EA%B0%95%EC%9B%90%EB%8F%84%20%EC%A0%95%EC%84%A0%EA%B5%B0%20%EB%82%A8%EB%A9%B4%20%EB%8F%84%EC%9B%903%EA%B8%B8%209%20B/D%20101%ED%98%B8%20%EB%91%A5%EC%9D%B4%EB%84%A4%20%EC%B9%BC%EA%B5%AD%EC%88%98,강원특별자치도,정선군,남면,한식,면요리,칼국수,"한식,칼국수,면",오직미클럽,ozicme-base,,,2026-02-05
돼지곰탕하우,서울특별시 성동구 성수동2가 289-39 1층 2호 돼지공탕 하우,"https://map.naver.com/p/entry/place/1559602117?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061613&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1559602117?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061613&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%8F%BC%EC%A7%80%EA%B3%B0%ED%83%95%ED%95%98%EC%9A%B0%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%B1%EC%88%98%EB%8F%992%EA%B0%80%20289-39%201%EC%B8%B5%202%ED%98%B8%20%EB%8F%BC%EC%A7%80%EA%B3%B5%ED%83%95%20%ED%95%98%EC%9A%B0,서울특별시,성동구,성수동2가,한식,국밥/탕,탕,"한식,탕/곰탕,탕",오직미클럽,ozicme-base,,,2026-02-05
두꺼비식당,강원특별자치도 원주시 토지길 31-1,"https://map.naver.com/p/entry/place/35916075?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061410&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/35916075?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061410&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%91%90%EA%BA%BC%EB%B9%84%EC%8B%9D%EB%8B%B9%20%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EC%9B%90%EC%A3%BC%EC%8B%9C%20%ED%86%A0%EC%A7%80%EA%B8%B8%2031-1,강원특별자치도,원주시,,한식,정식/백반,백반/정식,"한식,백반/정식,백반",오직미클럽,ozicme-base,,,2026-02-05
두끼떡볶이,경상남도 양산시 물금읍 백호로 68 큐엠씨네마타워 2층,"https://map.naver.com/p/entry/place/543748786?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101633&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/543748786?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101633&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%91%90%EB%81%BC%EB%96%A1%EB%B3%B6%EC%9D%B4%20%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84%20%EC%96%91%EC%82%B0%EC%8B%9C%20%EB%AC%BC%EA%B8%88%EC%9D%8D%20%EB%B0%B1%ED%98%B8%EB%A1%9C%2068%20%ED%81%90%EC%97%A0%EC%94%A8%EB%84%A4%EB%A7%88%ED%83%80%EC%9B%8C%202%EC%B8%B5,경상남도,양산시,물금읍,분식,분식,떡볶이,"분식,떡볶이",오직미클럽,ozicme-base,,,2026-02-05
두끼떡볶이 화명점,부산광역시 북구 화명동 2272-1 로얄펠리스 2층 203호,"https://map.naver.com/p/entry/place/1393994520?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101657&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1393994520?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101657&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%91%90%EB%81%BC%EB%96%A1%EB%B3%B6%EC%9D%B4%20%ED%99%94%EB%AA%85%EC%A0%90%20%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EB%B6%81%EA%B5%AC%20%ED%99%94%EB%AA%85%EB%8F%99%202272-1%20%EB%A1%9C%EC%96%84%ED%8E%A0%EB%A6%AC%EC%8A%A4%202%EC%B8%B5%20203%ED%98%B8,부산광역시,북구,화명동,분식,분식,떡볶이,"분식,떡볶이",오직미클럽,ozicme-base,,,2026-02-05
두레회식당,경상북도 울진군 죽변면 봉평리 133-9 동아모텔,"https://map.naver.com/p/entry/place/30965806?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061358&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/30965806?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061358&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%91%90%EB%A0%88%ED%9A%8C%EC%8B%9D%EB%8B%B9%20%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%9A%B8%EC%A7%84%EA%B5%B0%20%EC%A3%BD%EB%B3%80%EB%A9%B4%20%EB%B4%89%ED%8F%89%EB%A6%AC%20133-9%20%EB%8F%99%EC%95%84%EB%AA%A8%ED%85%94,경상북도,울진군,죽변면,한식,해산물/회,백반/정식,"한식,백반/정식,백반",오직미클럽,ozicme-base,,,2026-02-05
두찜 부산대점,부산광역시 금정구 장전로 16-2,"https://map.naver.com/p/entry/place/1640626255?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061351&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1640626255?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061351&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%91%90%EC%B0%9C%20%EB%B6%80%EC%82%B0%EB%8C%80%EC%A0%90%20%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B8%88%EC%A0%95%EA%B5%AC%20%EC%9E%A5%EC%A0%84%EB%A1%9C%2016-2,부산광역시,금정구,장전동,기타,기타(주점/카페/뷔페/기타),미상,미상,오직미클럽,ozicme-base,,,2026-02-05
둥이네칼국수,강원도 정선군 남면 도원3길 9 신진빌라101호,"https://map.naver.com/p/entry/place/1584447388?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101634&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1584447388?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101634&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%91%A5%EC%9D%B4%EB%84%A4%EC%B9%BC%EA%B5%AD%EC%88%98%20%EA%B0%95%EC%9B%90%EB%8F%84%20%EC%A0%95%EC%84%A0%EA%B5%B0%20%EB%82%A8%EB%A9%B4%20%EB%8F%84%EC%9B%903%EA%B8%B8%209%20%EC%8B%A0%EC%A7%84%EB%B9%8C%EB%9D%BC101%ED%98%B8,강원특별자치도,정선군,남면,한식,면요리,칼국수,"한식,칼국수,면",오직미클럽,ozicme-base,,,2026-02-05
들길식당,경상북도 의성군 점곡면 사촌리 593-4,"https://map.naver.com/p/entry/place/1458468962?placePath=%2Fhome&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1458468962?placePath=%2Fhome&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%93%A4%EA%B8%B8%EC%8B%9D%EB%8B%B9%20%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%9D%98%EC%84%B1%EA%B5%B0%20%EC%A0%90%EA%B3%A1%EB%A9%B4%20%EC%82%AC%EC%B4%8C%EB%A6%AC%20593-4,경상북도,의성군,점곡면,한식,정식/백반,백반/정식,"한식,백반/정식,백반",오직미클럽,ozicme-base,,,2026-02-05
등대횟집,경기도 시흥시 정왕동 2003-27번지,"https://map.naver.com/p/entry/place/17954658?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061104&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/17954658?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061104&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%93%B1%EB%8C%80%ED%9A%9F%EC%A7%91%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%8B%9C%ED%9D%A5%EC%8B%9C%20%EC%A0%95%EC%99%95%EB%8F%99%202003-27%EB%B2%88%EC%A7%80,경기도,시흥시,정왕동,해산물,해산물/회,회,"해산물,횟집,회",오직미클럽,ozicme-base,,,2026-02-05
등촌샤브샤브,강원특별자치도 강릉시 성덕포남로213번길 12-6 103호,"https://map.naver.com/p/entry/place/1720293609?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101635&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1720293609?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101635&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%93%B1%EC%B4%8C%EC%83%A4%EB%B8%8C%EC%83%A4%EB%B8%8C%20%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EA%B0%95%EB%A6%89%EC%8B%9C%20%EC%84%B1%EB%8D%95%ED%8F%AC%EB%82%A8%EB%A1%9C213%EB%B2%88%EA%B8%B8%2012-6%20103%ED%98%B8,강원특별자치도,강릉시,포남동,아시안,아시안,쌀국수/베트남요리,"아시안,베트남,쌀국수/베트남요리",오직미클럽,ozicme-base,,,2026-02-05
똘이네식당,강원특별자치도 정선군 임계면 송계2길 6,"https://map.naver.com/p/entry/place/1003484267?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101637&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1003484267?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101637&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%98%98%EC%9D%B4%EB%84%A4%EC%8B%9D%EB%8B%B9%20%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EC%A0%95%EC%84%A0%EA%B5%B0%20%EC%9E%84%EA%B3%84%EB%A9%B4%20%EC%86%A1%EA%B3%842%EA%B8%B8%206,강원특별자치도,정선군,임계면,한식,정식/백반,백반/정식,"한식,백반/정식,백반",오직미클럽,ozicme-base,,,2026-02-05
라희네한식뷔페,경기도 김포시 대곶면 율생중앙로120번길 133 라희네 한식뷔페,"https://map.naver.com/p/entry/place/1017024510?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101601&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1017024510?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101601&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%9D%BC%ED%9D%AC%EB%84%A4%ED%95%9C%EC%8B%9D%EB%B7%94%ED%8E%98%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B9%80%ED%8F%AC%EC%8B%9C%20%EB%8C%80%EA%B3%B6%EB%A9%B4%20%EC%9C%A8%EC%83%9D%EC%A4%91%EC%95%99%EB%A1%9C120%EB%B2%88%EA%B8%B8%20133%20%EB%9D%BC%ED%9D%AC%EB%84%A4%20%ED%95%9C%EC%8B%9D%EB%B7%94%ED%8E%98,경기도,김포시,대곶면,아시안,아시안,쌀국수/베트남요리,"아시안,베트남,쌀국수/베트남요리",오직미클럽,ozicme-base,,,2026-02-05
로뎅바,서울특별시 영등포구 당산동5가 9-2 당산 삼성쉐르빌 1층 108호,"https://map.naver.com/p/entry/place/1431014472?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061102&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1431014472?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061102&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%A1%9C%EB%8E%85%EB%B0%94%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8B%B9%EC%82%B0%EB%8F%995%EA%B0%80%209-2%20%EB%8B%B9%EC%82%B0%20%EC%82%BC%EC%84%B1%EC%89%90%EB%A5%B4%EB%B9%8C%201%EC%B8%B5%20108%ED%98%B8,서울특별시,영등포구,당산동5가,주점,기타(주점/카페/뷔페/기타),주류/안주,"주점,펍/바,주류/안주,바,펍",오직미클럽,ozicme-base,,,2026-02-05
로바타카미,서울특별시 중구 수표로 42-9 1층,"https://map.naver.com/p/entry/place/1553749070?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101640&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1553749070?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101640&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%A1%9C%EB%B0%94%ED%83%80%EC%B9%B4%EB%AF%B8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%EC%88%98%ED%91%9C%EB%A1%9C%2042-9%201%EC%B8%B5,서울특별시,중구,저동,주점,기타(주점/카페/뷔페/기타),주류/안주,"주점,펍/바,주류/안주,바,펍",오직미클럽,ozicme-base,,,2026-02-05
로봇김밥,경상남도 거제시 수양로 468 파이브테라스102호,"https://map.naver.com/p/entry/place/1153651253?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061709&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1153651253?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061709&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%A1%9C%EB%B4%87%EA%B9%80%EB%B0%A5%20%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84%20%EA%B1%B0%EC%A0%9C%EC%8B%9C%20%EC%88%98%EC%96%91%EB%A1%9C%20468%20%ED%8C%8C%EC%9D%B4%EB%B8%8C%ED%85%8C%EB%9D%BC%EC%8A%A4102%ED%98%B8,경상남도,거제시,수월동,분식,분식,김밥,"분식,김밥",오직미클럽,ozicme-base,,,2026-02-05
로봇김밥수월점,경남 거제시 수양로 468 파이브테라스 102호,"https://map.naver.com/p/entry/place/1153651253?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101641&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1153651253?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101641&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EB%A1%9C%EB%B4%87%EA%B9%80%EB%B0%A5%EC%88%98%EC%9B%94%EC%A0%90%20%EA%B2%BD%EB%82%A8%20%EA%B1%B0%EC%A0%9C%EC%8B%9C%20%EC%88%98%EC%96%91%EB%A1%9C%20468%20%ED%8C%8C%EC%9D%B4%EB%B8%8C%ED%85%8C%EB%9D%BC%EC%8A%A4%20102%ED%98%B8,경상남도,거제시,수양로,분식,분식,김밥,"분식,김밥",오직미클럽,ozicme-base,,,2026-02-05
