상호명,대표주소,네이버플레이스,네이버지도검색링크,네이버예약URL,지역_시도,지역_시군구,지역_읍면동,식당유형_대,식당유형_세부,주요리_대표,검색태그,배지,출처유형,근거URL,근거문구,최종업데이트
가장맛있는족발 옥동점,경상북도 안동시 광명로 171-4,"https://map.naver.com/p/entry/place/33788282?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101519&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/33788282?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101519&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%80%EC%9E%A5%EB%A7%9B%EC%9E%88%EB%8A%94%EC%A1%B1%EB%B0%9C%20%EC%98%A5%EB%8F%99%EC%A0%90%20%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%95%88%EB%8F%99%EC%8B%9C%20%EA%B4%91%EB%AA%85%EB%A1%9C%20171-4,경상북도,안동시,옥동,한식,고기/구이,족발,"한식,족발/보쌈,족발",오직미클럽,ozicme-base,,,2026-02-05
가장맛있족발,서울특별시 종로구 내자동 30 가장맛있는족발,"https://map.naver.com/p/entry/place/36779192?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061356&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/36779192?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061356&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%80%EC%9E%A5%EB%A7%9B%EC%9E%88%EC%A1%B1%EB%B0%9C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EB%82%B4%EC%9E%90%EB%8F%99%2030%20%EA%B0%80%EC%9E%A5%EB%A7%9B%EC%9E%88%EB%8A%94%EC%A1%B1%EB%B0%9C,서울특별시,종로구,내자동,한식,고기/구이,족발,"한식,족발/보쌈,족발",오직미클럽,ozicme-base,,,2026-02-05
갈비본가,전라북도 남원시 금동 407-1 갈비본가 최성숙 앞,"https://map.naver.com/p/entry/place/17334528?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101520&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/17334528?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101520&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%88%EB%B9%84%EB%B3%B8%EA%B0%80%20%EC%A0%84%EB%9D%BC%EB%B6%81%EB%8F%84%20%EB%82%A8%EC%9B%90%EC%8B%9C%20%EA%B8%88%EB%8F%99%20407-1%20%EA%B0%88%EB%B9%84%EB%B3%B8%EA%B0%80%20%EC%B5%9C%EC%84%B1%EC%88%99%20%EC%95%9E,전북특별자치도,남원시,금동,한식,고기/구이,갈비,"한식,갈비",오직미클럽,ozicme-base,,,2026-02-05
갈비찜클라쓰,경기도 고양시 일산동구 장항동 756 에메랄드빌딩 107호,"https://map.naver.com/p/entry/place/1419570387?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061719&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1419570387?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061719&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%88%EB%B9%84%EC%B0%9C%ED%81%B4%EB%9D%BC%EC%93%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EC%9D%BC%EC%82%B0%EB%8F%99%EA%B5%AC%20%EC%9E%A5%ED%95%AD%EB%8F%99%20756%20%EC%97%90%EB%A9%94%EB%9E%84%EB%93%9C%EB%B9%8C%EB%94%A9%20107%ED%98%B8,경기도,고양시 일산동구,장항동,한식,고기/구이,갈비,"한식,갈비",오직미클럽,ozicme-base,,,2026-02-05
감미손칼국수,인천광역시 미추홀구 석정로 460,"https://map.naver.com/p/entry/place/16614325?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101523&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/16614325?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101523&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%90%EB%AF%B8%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C%20%EB%AF%B8%EC%B6%94%ED%99%80%EA%B5%AC%20%EC%84%9D%EC%A0%95%EB%A1%9C%20460,인천광역시,미추홀구,석정로,한식,면요리,칼국수,"한식,칼국수,면",오직미클럽,ozicme-base,,,2026-02-05
강남실비횟집,서울특별시 강남구 압구정로2길 46,"https://map.naver.com/p/entry/place/1055214364?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101555&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1055214364?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101555&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%95%EB%82%A8%EC%8B%A4%EB%B9%84%ED%9A%9F%EC%A7%91%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%95%EA%B5%AC%EC%A0%95%EB%A1%9C2%EA%B8%B8%2046,서울특별시,강남구,신사동,해산물,해산물/회,회,"해산물,횟집,회",오직미클럽,ozicme-base,,,2026-02-05
강화도맛집 숯불생선구이,인천광역시 강화군 길상면 해안동로 14-6 1층,"https://map.naver.com/p/entry/place/20299835?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101513&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/20299835?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601101513&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EB%8F%84%EB%A7%9B%EC%A7%91%20%EC%88%AF%EB%B6%88%EC%83%9D%EC%84%A0%EA%B5%AC%EC%9D%B4%20%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B0%95%ED%99%94%EA%B5%B0%20%EA%B8%B8%EC%83%81%EB%A9%B4%20%ED%95%B4%EC%95%88%EB%8F%99%EB%A1%9C%2014-6%201%EC%B8%B5,인천광역시,강화군,길상면,한식,생선구이,생선구이,"강화,가마솥밥,생선구이",오직미클럽,ozicme-base,,,2026-02-05
거래처김밥,경상남도 창원시 진해구 안골로289번길 9 1층상호 거래처 김밥 전문점,"https://map.naver.com/p/entry/place/1733634677?placePath=%2Fhome&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1733634677?placePath=%2Fhome&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B1%B0%EB%9E%98%EC%B2%98%EA%B9%80%EB%B0%A5%20%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84%20%EC%B0%BD%EC%9B%90%EC%8B%9C%20%EC%A7%84%ED%95%B4%EA%B5%AC%20%EC%95%88%EA%B3%A8%EB%A1%9C289%EB%B2%88%EA%B8%B8%209%201%EC%B8%B5%EC%83%81%ED%98%B8%20%EA%B1%B0%EB%9E%98%EC%B2%98%20%EA%B9%80%EB%B0%A5%20%EC%A0%84%EB%AC%B8%EC%A0%90,경상남도,창원시 진해구,안골동,분식,분식,김밥,"분식,김밥",오직미클럽,ozicme-base,,,2026-02-05
겐로쿠우동,충청북도 청주시 흥덕구 대농로 33 113호,"https://map.naver.com/p/entry/place/1184014683?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061619&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1184014683?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601061619&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B2%90%EB%A1%9C%EC%BF%A0%EC%9A%B0%EB%8F%99%20%EC%B6%A9%EC%B2%AD%EB%B6%81%EB%8F%84%20%EC%B2%AD%EC%A3%BC%EC%8B%9C%20%ED%9D%A5%EB%8D%95%EA%B5%AC%20%EB%8C%80%EB%86%8D%EB%A1%9C%2033%20113%ED%98%B8,충청북도,청주시 흥덕구,겐로쿠우동,일식,일식,우동,"일식,우동",오직미클럽,ozicme-base,,,2026-02-05
경성상회식당,충청남도 금산군 금산읍 금산로 1444-2,"https://map.naver.com/p/entry/place/1142921665?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072211&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh","https://map.naver.com/p/entry/place/1142921665?placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202601072211&locale=ko&svcName=map_pcv5&c=15.00,0,0,0,dh",https://map.naver.com/p/search/%EA%B2%BD%EC%84%B1%EC%83%81%ED%9A%8C%EC%8B%9D%EB%8B%B9%20%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EA%B8%88%EC%82%B0%EA%B5%B0%20%EA%B8%88%EC%82%B0%EC%9D%8D%20%EA%B8%88%EC%82%B0%EB%A1%9C%201444-2,충청남도,금산군,금산읍,한식,해산물/회,백반/정식,"한식,백반/정식,백반",오직미클럽,ozicme-base,,,2026-02-05
