상호명,대표주소,네이버플레이스,이미지,지역_시도,지역_시군구,지역_읍면동,식당유형_대,식당유형_세부,주요리_대표,검색태그,네이버검색어,,
솔솥 선릉 삼성 포스코센터점,"서울 강남구 삼성로72길 64 지상1층 5, 6, 7호",https://map.naver.com/p/entry/place/1694905210,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240626_257%2F1719371722735oFtSU_JPEG%2FDSC02630.jpg,서울,강남구,대치동,한식,고기/구이,[스테이크솥밥] 육즙이 팡팡/[장어솥밥] 기력보충에 좋은 장어,"장어,한식,고기/구이",서울 강남구 개포동 솥밥,,
김치옥 대치점,"서울 강남구 언주로 708 1, 2층",https://map.naver.com/p/entry/place/1239506231,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250721_277%2F1753086319638xt6nA_JPEG%2F%25B9%25CE%25BB%25FD%25C8%25B8%25BA%25B9-%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA.jpg,서울,강남구,대치동,"육류,고기요리",고기/구이,"한우1++ 육회비빔밥/한돈 숙성삼겹살(150g)/한돈 숙성목살(150g)/쫀득가브리살(150g)/특상삼겹로스 한접시(400g)/남도 묵은지 김치찜(소,중,대)/김치옥 숙성지 김치찌개/특상삼겹로스 추가접시(200g)/남도 묵은지 김치찜세트(소,중,대)/남도숙성지 지리산산청 청국장찌개","회,한우,육류,고기요리,삼겹살,탕,고기/구이",서울 송파구 잠실동 솥밥,,
청와옥 본사직영학동점,강원 춘천시 동면 만천로 55 1층,https://map.naver.com/p/entry/place/1470143486,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20260108_298%2F1767839988125oDk2Q_JPEG%2FIMG_E6113.JPG,서울,강남구,논현동,"순대,순댓국",고기/구이,순두부국밥 특/청와옥 순대국밥/얼큰 순대국/순두부국밥/청와옥 편백정식/오징어숯불구이/순대철판볶음/찹쌀순대/편백수육+순대/육회(국내산) 大,"순두부,고기/구이,순대,순댓국,회,국밥",서울 강남구 신사동 솥밥,,
솥담순두부 춘천만천점,서울 강남구 테헤란로78길 26 2층,https://map.naver.com/p/entry/place/1317493336,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251124_293%2F17639131634925tNHw_JPEG%2FKakaoTalk_20251124_005151245.jpg,강원,춘천시,동면,두부요리,면요리,솥담순두부/해물순두부/햄치즈순두부/뚝배기 칼국수/수제돈까스/차돌순두부/매생이굴순두부/소곱창순두부/버섯순두부/만두순두부,"두부요리,칼국수,면,면요리,순두부",강원 춘천시 석사동 솥밥,,
차호랑,서울 강남구 논현로95길 29-12 1층,https://map.naver.com/p/entry/place/1093374389,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240206_71%2F1707218078637vluoY_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2024-02-06_%25BF%25C0%25C8%25C4_8.14.26.png,서울,강남구,대치동,이북음식,고기/구이,얼큰내장탕/제비추리 (한우++) 150g/인분/차돌박이 (한우++) 150g/인분/꽃갈빗살 (미국산PRIME) 150g/갈빗살(미국산PRIME)150g/모듬한접시 (牛)/양갈비 (호주산) 300g/인분/매운갈비찜/갈비찜/돌판수육,"한우,탕,이북음식,갈비,고기/구이",서울 강남구 개포동 솥밥,,
로바타 모로미,서울 강남구 테헤란로 610 글래드코엑스센터 B2,https://map.naver.com/p/entry/place/2098427564,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250923_45%2F1758592504409YYhEs_PNG%2F%25B7%25CE%25B0%25ED_1.png,서울,강남구,역삼동,이자카야,기타(주점/카페/뷔페/기타),카루비 타레야키/돈토로 미소야키/모모니쿠 야키/와후 스테이크/규타타키 와라야키/사바 잇폰야키/모둠사시미/한우 모츠나베/나메로/버섯솥밥,"기타(주점/카페/뷔페/기타),회,한우,이자카야",서울 서초구 서초동 솥밥,,
갓포아키 삼성점,서울 강남구 삼성로96길 26-6 1~3층,https://map.naver.com/p/entry/place/1491683807,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260112_249%2F1768190754917SfzeT_JPEG%2F%25B8%25B6%25BD%25BA%25C5%25CD_%25B0%25AB%25C6%25F7.jpg,서울,강남구,대치동,일식당,국밥/탕,(런치)카이센동 정식/(런치)우나쥬 정식/제철 생선회/후토마키/한우 스키야키 우동전골/(런치)스테키쥬 정식/(런치)바라 치라시 스시 정식/프리미엄 성게알/채소절임 5종(츠케모노)/해삼내장 젓갈(고노와다),"회,한우,일식당,탕,초밥,국밥/탕",서울 송파구 신천동 솥밥,,
진미언양불고기 삼성동,서울 강남구 봉은사로 610,https://map.naver.com/p/entry/place/1335951464,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20250221_182%2F1740145904050SFaD3_PNG%2F%25C1%25F8%25B9%25CC%25BE%25F0%25BE%25E7%25BA%25D2%25B0%25ED%25B1%25E2_%25B7%25CE%25B0%25ED.png,서울,강남구,삼성동,"육류,고기요리",고기/구이,"진미언양불고기/등심슬라이스/점심 스페셜 (한우 1인분 & 식사)/우마카세/등심/살치살/육회비빔밥, 된장찌개와 7첩반상/한우 육개장, 솥밥과 7첩반상/한우 맑은 곰탕과 7첩반상","회,한우,육류,고기요리,탕,곰탕/설렁탕,고기/구이",서울 송파구 신천동 솥밥,,
꽃지 삼성점,서울 강남구 선릉로90길 70,https://map.naver.com/p/entry/place/11833930,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20250917_187%2F1758072628809vpEUa_JPEG%2Fimage_%25B2%25C9%25C1%25F6_%25BB%25EF%25BC%25BA%25C1%25A1_%25BF%25B9%25BE%25E0_1.JPG,서울,강남구,삼성동,한식,정식/백반,간장게장 2인/간장게장 3인/간장게장 4인/간장게장 대 1마리/간장게장 특정식/간장게장정식(중)/낙지볶음/대하구이/양념게장 1kg/양념게장(소),"백반/정식,한식,낙지,백반,정식/백반",서울 송파구 신천동 솥밥,,
여신김밥 대치점,서울 강남구 도산대로45길 8-3 쿠키빌딩,https://map.naver.com/p/entry/place/20851041,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNTAzMDFfMjkg%2FMDAxNzQwNzg3NzE5MDEz.Uw3XTu3bC7uC0QjQH6D5NkG33cpg7AUV_uhaCWHa4Vcg.ZRbRqlj_nwLerWMNT6i9vlqBEzB2A7XjtYOb0ZJ_eWcg.JPEG%2F1000048954.jpg.jpg,서울,강남구,대치동,김밥,분식,김치돌솥밥/돌솥비빔밥/야채김밥/치즈김밥/참치김밥,"분식,김밥",서울 강남구 개포동 솥밥,,
갓포아키 도산공원점,서울 강남구 역삼로65길 20 1층,https://map.naver.com/p/entry/place/32284047,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180102_38%2F151486270170764jBo_JPEG%2FdibEADDEO6FMWqWvMmop7Ppv.jpg,서울,강남구,신사동,일식당,면요리,사시미2인/우니사시미/고성해수우니/시트러스우동/삼배체굴초회/초당옥수수튀김/옥돔구이/네기토로핸드롤/네기토로+우니핸드롤/온센타마고,"회,면요리,일식당",서울 강남구 신사동 솥밥,,
오마치슌,서울 강남구 도산대로67길 7 B1,https://map.naver.com/p/entry/place/36667318,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20260123_96%2F1769158883874N1YAj_JPEG%2FEVTWOl4TXe_04.jpg,서울,강남구,대치동,일식당,국밥/탕,안주오마카세(인당)/각종 니혼슈류/특사시미/모둠사시미(2~3)/우니/캐비어와 안키모/각종 몰트 위스키류/각종 와인류/한우 1등급 스지 오뎅탕/일본소주 잔술,"회,한우,일식당,탕,국밥/탕",서울 강남구 개포동 솥밥,,
한우오마카세 우월,"서울 강남구 봉은사로29길 35 지하2층 B201호, B202호, B203호 주방14호",https://map.naver.com/p/entry/place/1448804132,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220515_179%2F1652615416218G7Gho_JPEG%2F1637209524656.jpg,서울,강남구,청담동,"육류,고기요리",한우,우월 클래식 오마카세 코스/골프 오마카세/우월 미니 테이스팅 코스,"한우,육류,고기요리",서울 성동구 옥수동 솥밥,,
혜준당 논현점,서울 강남구 도산대로90길 16 케이하우스,https://map.naver.com/p/entry/place/1174124604,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240212_141%2F1707738305493K9Y5T_PNG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF%25C7%25FD%25C1%25D8%25B4%25E7_%25B7%25CE%25B0%25ED.png,서울,강남구,논현동,한식,정식/백반,,"백반/정식,한식,백반,정식/백반",서울 서초구 반포동 솥밥,,
케이하우스,서울 마포구 대흥로30길 18-5,https://map.naver.com/p/entry/place/66628863,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211008_143%2F1633673681866mE8vt_JPEG%2F1Zsc-PuLnAhEYrRaKcJI4uTy.jpeg.jpg,서울,강남구,청담동,대게요리,정식/백반,대게 코스/킹크랩코스,"대게요리,백반/정식,백반,정식/백반",서울 광진구 자양동 솥밥,,
밀리네해물탕,서울 강남구 선릉로155길 12 4층,https://map.naver.com/p/entry/place/12004833,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_140%2F1440998019575AH3UQ_JPEG%2F12004833_0.jpg,서울,마포구,염리동,"해물,생선요리",국밥/탕,[얼큰 시원한] 해물탕(2인)/[얼큰 시원한] 해물탕(3인)/[얼큰 시원한] 해물탕(4인)/[오늘은 찜이 땡긴다면] 해물찜(2인)/[오늘은 찜이 땡긴다면] 해물찜(3인)/해물지리탕(3인)/해물지리탕(4인)/1인 아구찜/쭈꾸미 도시락/쭈삼 도시락,"면,낙지,탕,해물,생선요리,국밥/탕",서울 용산구 효창동 솥밥,,
갓포 카린,"서울 광진구 능동로 18 이튼타워리버3차 1층 126, 127호",https://map.naver.com/p/entry/place/1315628242,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20250616_252%2F1750068148837jVdL8_JPEG%2FAIrEBN5Lcc_03.jpg,서울,강남구,신사동,이자카야,기타(주점/카페/뷔페/기타),사시미 모리아와세 (1인)/스페셜 스시 한판/제주 특상 금태 구이/전복 내장 파스타/카린 후토마끼/한우 채끝 규카츠 산도/우니 단새우 들기름 소바/민물장어 한마리 (시오/타래)/대게다리 덴푸라/우니 와규 꽃갈비살 스테이크,"기타(주점/카페/뷔페/기타),장어,회,한우,갈비,초밥,이자카야",서울 성동구 옥수동 솥밥,,
진육식당,서울 강남구 도산대로81길 25 조은빌딩 1층,https://map.naver.com/p/entry/place/38513930,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240619_162%2F1718789102958Dv8ed_JPEG%2F1718756127590.jpg,서울,광진구,자양동,한식,고기/구이,진육삼겹살/반계탕/맑은곰탕/특 갈비탕/진육특목살/생생갈매기/한우채끝/한우육회/한우꽃등심/한우갈비살,"회,한우,한식,삼겹살,탕,갈비,곰탕/설렁탕,고기/구이",서울 송파구 신천동 솥밥,,
벽제갈비 더청담,서울 강남구 선릉로148길 52-5 2층(청담동),https://map.naver.com/p/entry/place/1848781281,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250429_78%2F1745916449466VCCMj_JPEG%2F%25BA%25AE%25C1%25A6%25B0%25A5%25BA%25F11.jpg,서울,강남구,청담동,소고기구이,고기/구이,꽃뼈생갈비(1kg)/한우맡김차림/꽃뼈등심(1kg)/설화한우생갈비(200g)/설화한우꽃등심(100g),"한우,갈비,고기/구이,소고기구이",서울 성동구 성수동 솥밥,,
예약,서울 강남구 언주로165길 7-4,https://map.naver.com/p/entry/place/1347637519,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240218_60%2F1708257900462fjXdB_JPEG%2F1000012575.jpg,서울,강남구,청담동,일식당,고기/구이,트러플 스끼야끼.온센다마고 [1인]/옥돔 숯불구이. 비스크소스/겨울대구. 백합 버터 술찜/트러플 아와비 카츠산도/[한정] 야끼시라코 트러플 죠스이/은갈치 버섯말이 숯불구이/아나고 우엉말이 숯불구이/테바사키 교자 숯불구이/[한정] 아와비 이시야끼 [1인]/우나기 숯불구이 테마끼 [1인],"일식당,고기/구이",서울 성동구 성수동 솥밥,,
장사랑,서울 송파구 올림픽로 212 B1층 36-26호,https://map.naver.com/p/entry/place/11384660,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171130_136%2F1511978222893LnKx0_JPEG%2FSAM_0802.JPG,서울,강남구,신사동,한식,국밥/탕,들깨수제비/냉면/묵사발/해물파전/김치부추전/댸파육개장/등뼈김치찌개/쭈꾸미볶음/김치알솥밥/영양돌솥밥,"면,한식,낙지,탕,국밥/탕",서울 성동구 옥수동 솥밥,,
통영바라래,서울 강남구 언주로87길 43,https://map.naver.com/p/entry/place/1339807836,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNTA3MDFfMTkz%2FMDAxNzUxMzQwOTk4NDcw.vDuToD7uj3biEVmXDz66FCPIcnSZW7jCj2n9Y4fD81wg.fPYvkG3ceXrG0psk8CB24UFVMv1zSitEo2H9jClr8gwg.JPEG%2F20250624_120039.jpg.jpg,서울,송파구,잠실동,"해물,생선요리",정식/백반,굴밥정식/낙지볶음/제육볶음/골뱅이무침/소라무침/오징어볶음/게란말이/도토리묵무침/굴순두부/해물순두부,"백반/정식,낙지,해물,생선요리,백반,정식/백반,순두부",서울 송파구 석촌동 솥밥,,
노걸대감자탕 직화뼈구이 역삼역점,서울 광진구 능동로 18,https://map.naver.com/p/entry/place/2086831691,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251218_209%2F17660253605049tt1J_PNG%2F123.png,서울,강남구,역삼동,감자탕,국밥/탕,뼈구이(소)/1인뼈구이정식/뼈감자탕전골/묵은지감자탕전골/묵은지뼈해장국/돈가스/내장탕/순대국밥/뼈해장국,"국밥,탕,국밥/탕,감자탕",서울 서초구 서초동 솥밥,,
김가네 뚝섬한강공원점(자양역),서울 서대문구 연대동문길 29,https://map.naver.com/p/entry/place/1594965657,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231017_279%2F1697539926156cg04m_JPEG%2F%25B1%25E8%25B0%25A1%25B3%25D7.jpg,서울,광진구,자양동,분식,분식,김가네김밥/참치김밥/멸추김밥/에그스팸김밥/와사비크래미김밥/더블치즈김밥/소고기김밥/통새우롤/돈까스롤/소고기주먹밥,"분식,한우",서울 송파구 신천동 솥밥,,
딸기골,경기 성남시 수정구 위례광장로 320 2층 202호,https://map.naver.com/p/entry/place/13155223,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_12%2F1440996972137u4pY1_JPEG%2F106562433321145_0.jpg,서울,서대문구,대신동,종합분식,국밥/탕,치즈김치순두부/오징어돌솥밥/참치김치순두부/돌솥비빔밥/김치알밥/부대찌개/김치찌개/비빔밥,"종합분식,탕,국밥/탕,순두부",서울 종로구 무악동 솥밥,,
광장코다리아구전문점,서울 강남구 삼성로82길 20 지층,https://map.naver.com/p/entry/place/1421875860,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240803_252%2F1722612972770Cx80t_JPEG%2F20240802_223325.jpg,경기,성남시,창곡동,"해물,생선요리",국밥/탕,코다리조림(대)/시래기코다리조림(대)/아구찜(대)/뽈탕(대)/갈치조림(대),"탕,해물,생선요리,국밥/탕",경기 성남시 중원구 솥밥,,
한국관,대전 서구 청사서로 29,https://map.naver.com/p/entry/place/1900821465,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210331_81%2F1617172041121R9AGF_JPEG%2FUp13dUrz_2_I8Xnt5YXkpiWe.jpg,서울,강남구,대치동,한식,고기/구이,김치찌개+솥밥+라면사리/햄김치찌개/김치 두루치기/생삼겹살/목삼겹살/항정살/가브리살,"면,한식,삼겹살,탕,고기/구이",서울 송파구 신천동 솥밥,,
김가네 월평선사점,강원 춘천시 동내면 너부래길 7 고산가,https://map.naver.com/p/entry/place/1815979161,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231017_279%2F1697539926156cg04m_JPEG%2F%25B1%25E8%25B0%25A1%25B3%25D7.jpg,대전,서구,월평동,분식,분식,"라볶이/쫄면(새콤,달콤,매콤)/오믈렛라이스/치즈떡복이/(스팸)김치볶음밥/(야채가득)김가네김밥/(더블)체다치즈김밥/참치(듬뿍)마요김밥/(맛있게매운)멸추김밥/소고기김밥","면,분식,한우",대전 서구 둔산동 솥밥,,
고산가,서울 강남구 언주로79길 14-5 1층,https://map.naver.com/p/entry/place/1432126030,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191030_70%2F1572435856866mAFss_JPEG%2FnhzU54E28h9Slx_LwBgWI3fV.jpg,강원,춘천시,동내면,한정식,정식/백반,보리굴비 정식/간장게장 정식/고산가정식/산채정식/더덕구이(추가메뉴),"백반/정식,백반,정식/백반,한정식",강원 춘천시 석사동 솥밥,,
온솥 강남점,서울 강남구 언주로71길 27 프리타운빌라,https://map.naver.com/p/entry/place/1770834856,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240515_34%2F1715749018914JVY6B_JPEG%2F%25BF%25C2%25BC%25DC_%25C8%25F2%25BB%25F6.jpg,서울,강남구,역삼동,한식,고기/구이,온천계란 솥밥/와규 솥밥/남도장어 솥밥/날치알꼬막솥밥/영양낙지솥밥/가지 닭갈비솥밥/(냉)연어오차츠케/와규솥밥(단품)/한돈 콩나물솥밥(단품)/가지 닭갈비솥밥(단품),"장어,한식,낙지,갈비,고기/구이",서울 서초구 서초동 솥밥,,
건강밥상,서울 강남구 도곡로 401 롯데백화점 강남점 지하1층,https://map.naver.com/p/entry/place/1974360157,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNTA0MDJfMjU1%2FMDAxNzQzNTk0OTE3MzM0.4Np0tni9UEITHzhmRlNJ8L9FZMv74jY-_EjayGJY1vQg.S0v9L4ze8UzSMLu8eW7536j03k0a3FpaY8JQRZ_dspMg.JPEG%2FD1016FF7-4CE5-4347-B90C-1DFAC3767071.jpeg,서울,강남구,역삼동,"육류,고기요리",고기/구이,쭈꾸미정식/불고기쌈밥/두부짜글이/청국장/김치찌개,"육류,고기요리,낙지,탕,고기/구이",서울 서초구 서초동 솥밥,,
남파고택 롯데백화점 강남점,서울 강남구 삼성로81길 37 1층,https://map.naver.com/p/entry/place/1969252815,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200720_52%2F15952273577688119e_JPEG%2FnlInCj08jnk2yixs90egnwDX.JPG.jpg,서울,강남구,대치동,한식,고기/구이,"남파고택 외상/손님상(2인 이상, 1인)/육전과어전/한우떡갈비/돼지고기수육/낙지볶음/제육볶음/보리굴비 솥밥 정식/생열무 보리새우 비빔밥과 제육 정식","한우,한식,낙지,갈비,고기/구이",서울 강남구 개포동 솥밥,,
한국관 선릉점,서울 강남구 테헤란로57길 17 2층,https://map.naver.com/p/entry/place/1654034373,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250602_36%2F1748843589472VIXcE_JPEG%2FIMG_2020.jpeg,서울,강남구,대치동,한식,고기/구이,김치찌개/숯불 생삼겹살 (180g)/숯불 생항정살(180g)/숯불 생목살(180g)/숯불 생가브리살(180g)/김치 두루치기(2인이상)/계란말이,"한식,삼겹살,탕,고기/구이",서울 강남구 개포동 솥밥,,
큰입아구찜,서울 강남구 선릉로 328 1층,https://map.naver.com/p/entry/place/38490556,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNjAyMDVfMjcg%2FMDAxNzcwMjkxOTY5MzQx.wLg1qLXltj8iWlsfszXk3zbpkz4n_fqB_dzVsWr_IZAg.wIlisKQtlfRWoqvnNpqEd22ZXMyTbm21zsnO7IEM8Xog.JPEG%2F0920A1F1-42AA-4CBE-A5CC-229F507369D9.jpeg,서울,강남구,역삼동,"아귀찜,해물찜",고기/구이,해물모듬찜/아구찜/해물왕갈비찜/김치찌개,"탕,아귀찜,해물찜,갈비,고기/구이",서울 강남구 개포동 솥밥,,
우일가든,서울 강남구 삼성로82길 19,https://map.naver.com/p/entry/place/2085440468,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250723_239%2F1753242490960hjjc1_JPEG%2F%25C0%25FC%25B4%25DC%25C1%25F6_%25BE%25D5%25B5%25DA_%2528A4%2529_%25C6%25E4%25C0%25CC%25C1%25F6_1_%25C0%25CC%25B9%25CC%25C1%25F6_0006.jpg,서울,강남구,대치동,소고기구이,고기/구이,등심+차돌 300g/치마+업진+안심+안창 400g/토시+안창+안심+꽃등심+살치 600g/뭉티기/우일 양지탕/육회비빔밥/육회/암소 한우 등심 불고기/등심 150g/한정판매 살치살 150g,"회,한우,탕,고기/구이,소고기구이",서울 강남구 개포동 솥밥,,
한국인의 솥밥 숯불한우 도야지,서울 금천구 시흥대로 189 지하1층,https://map.naver.com/p/entry/place/37997307,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191030_236%2F15724093448156HY1h_JPEG%2F1uR3WE0tU5B4qDV4fo3wqMeY.jpg,서울,강남구,대치동,소고기구이,고기/구이,생고기김치찌개+솥밥/주물럭쌈밥/쭈꾸미정식/낙지볶음정식(예약)/계란말이/김치찌개/생삼겹살,"한우,삼겹살,낙지,탕,고기/구이,소고기구이",서울 송파구 신천동 솥밥,,
금천뚝배기,서울 강남구 역삼로 211 담곡빌딩,https://map.naver.com/p/entry/place/1497651762,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240904_194%2F1725413825905jsRxS_JPEG%2F1000001207.jpg,서울,금천구,시흥동,"찌개,전골",국밥/탕,순두부찌개/고추장찌개/된장찌개/청국장/닭곰탕/쭈꾸미덮밥,"찌개,전골,낙지,탕,국밥/탕,순두부,곰탕/설렁탕",서울 금천구 시흥동 솥밥,,
죽이야기 서울 강남역삼2호점,서울 강남구 테헤란로70길 10 동헌빌딩,https://map.naver.com/p/entry/place/11870532,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260122_113%2F17690420599658kSjV_JPEG%2FKakaoTalk_20260120_094506251.jpg,서울,강남구,역삼동,죽,한우,완도전복죽/불낙죽(매운맛)/모듬해물죽/한우야채죽/호박죽/팥죽/매운낙지볶음밥/특전복죽/진품전복죽/전복인삼닭죽,"한우,죽,낙지",서울 서초구 서초동 솥밥,,
우노,서울 강남구 영동대로86길 11 승원산업사 2층,https://map.naver.com/p/entry/place/36734951,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20250907_208%2F1757202181712akg2z_JPEG%2F32xNXma6ap_03.jpg,서울,강남구,대치동,한식,고기/구이,우노갈비모듬(800g)/한우육수불고기정식(2인이상)/깍뚝갈비꽃살(400g)/우노숯불갈비살 500g/라(LA)갈비 500g/한우국수전골(2인이상)/한우특선(600g)/한우불초밥(8p)/살치살(150g)/새우살(150g),"면,한우,한식,탕,갈비,초밥,고기/구이",서울 강남구 개포동 솥밥,,
고운님 삼성점,서울 강남구 언주로148길 7 우담 (1층),https://map.naver.com/p/entry/place/35444331,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNjAxMDZfOTcg%2FMDAxNzY3NjkwNjEzNzIy.V6518In1zrhLZNyxI39KSSfaA8cEotypMEx55C8YeGog.PPLMyTfpHiggRCi5FCDiotAnLNOpq55qozASYZMTzhsg.JPEG%2FC77EC7B1-2B80-443B-A9EF-D16ED244DABB.jpeg,서울,강남구,대치동,한식,국밥/탕,요일 정식/지리산 흑돼지 묵은지 찌개/별미 회덮밥/해물알탕/완도 돌문어 비빔밥/매생이탕/목포 생조기 매운탕/남도밥상정식/영광보리굴비정식/섬마을 상차림,"회,한식,탕,국밥/탕",서울 송파구 신천동 솥밥,,
우담,서울 구로구 디지털로 242 한화비즈메트로1차 1층 108호,https://map.naver.com/p/entry/place/1250471787,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220208_164%2F1644319384754jGYXg_JPEG%2F1644306549095.jpg,서울,강남구,논현동,"육류,고기요리",고기/구이,안창살/토시살/꽃등심/생고기/육회/육전/육회비빔밥/한우소고기무국/한우소고기미역국/황태콩나물 북어국,"회,한우,육류,고기요리,고기/구이",서울 강남구 논현동 솥밥,,
루이김밥,"서울 강남구 논현로79길 62 백악빌딩 1, 2층 고래불",https://map.naver.com/p/entry/place/1173862047,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220520_223%2F1653005640356yLjpn_JPEG%2F24659702-B1C3-4368-8BA2-3557725F03CA.jpeg,서울,구로구,구로동,김밥,분식,김밥/김치김밥/치즈김밥/치즈김치김밥/돈까스김밥/소세지김밥/참치김밥/참치고추김밥/멸치김밥/참치멸치김밥,"분식,김밥",서울 영등포구 대림동 솥밥,,
